SKU,Model,MSE,RMSE,MAE,R2,Percent Change,Difference
0071363-S,Elastic Net,4.465382848407401,2.1131452501916193,1.646136454800715,0.3017451530482635,,
0071370-S,Lasso,74.37998229558225,8.624383009559713,5.853567662565906,0.0990796718073854,,
0071388-S,Elastic Net,101.49069866822371,10.074259211883708,8.314681308310591,0.2381150163784721,,
0071410-S,Gradient Boosting,18.288085954489546,4.276457173232247,2.4903241706642825,0.2585911099531266,,
0071422-S,CatBoost,27.128758752295553,5.208527503267652,3.956966570627384,0.4015714981111276,,
0071426-S,Decision Tree,1695.34,41.174506675854666,29.860000000000003,0.7212276677437124,,
0071434-S,Elastic Net,46.22257304708601,6.798718485647572,5.660514593065546,0.4239459989146809,,
0071438-S,Elastic Net,461.33762498848887,21.478771496258553,16.68857667140763,0.0246307260370748,,
0071444-S,Elastic Net,297.90387903015346,17.259892207952905,15.153429250347582,0.1242242502641303,,
0071445-S,Decision Tree,694.2839999999999,26.34926943958788,22.339999999999996,0.7916314525810324,,
0071455-S,Gradient Boosting,498.7672595133954,22.333097848560897,16.806445253161446,0.260088030510176,,
0071456-S,Exponential Smoothing w/ Trend & Seasonality,0.8921005072321264,0.9445107237253192,0.6558881903748011,0.0264005416546552,,
0071457-S,Decision Tree,42.388000000000005,6.5106067305589885,3.7,0.0253391584272244,,
0071458-S,Exponential Smoothing w/ Trend & Seasonality,3.18819088037348,1.7855505818580106,0.9410693282837708,0.0286486823506659,,
0071459-S,Decision Tree,688.164090909091,26.23288186435282,17.945454545454545,0.0394313383937429,,
0071515-S,Random Forest,15.257511154209006,3.906086424313856,3.2326798941798938,0.4988408744967845,,
0071554-S,Lasso,21.763877103734934,4.6651770709947264,3.8853299400109074,0.2783860376745711,,
0071561-S,SVR,173.5230986787157,13.172816656991614,8.790527246256309,0.1237977243046066,,
0071562-S,Decision Tree,9.724,3.118332887938682,2.0200000000000005,0.5235668789808918,,
0071563-S,Second Degree Approximation,4.973134830293218,2.230052651910537,2.1082778488351237,0.0362141801757329,,
0071590-S,Exponential Smoothing w/ Trend & Seasonality,0.7852682245023782,0.886153612249241,0.6103401662273104,0.0230937787408236,,
0071591-S,SVR,3.629902334263463,1.9052302575446003,1.5078248176554747,0.2681648519630115,,
0071595-S,Ridge,5.252836448690534,2.2919067277466887,1.8322295119347447,0.0586731142833336,,
0071596-S,Random Forest,30.88257944178011,5.557209681286114,4.179750763125763,0.2877633892578387,,
0071597-S,SVR,47.535434473881246,6.894594583721457,4.327337560214965,0.0760848498759718,,
0071601-S,SVR,66.48797741296224,8.154016029721934,5.334866474319584,0.0995669364441732,,
0071615-S,Decision Tree,99.488,9.974367147844518,7.840000000000001,0.6092533678959979,,
0071760-S,SVR,3.254418495712412,1.8040006917161675,1.561465142053636,0.2677558384647074,,
0071762-S,Lasso,15.201387679202288,3.898895699964579,2.889028910303929,0.0475321003006085,,
0071767-S,XGBoost,22.571932480994256,4.750992788985714,2.8317813907924574,0.3666685611393305,,
0071786-S,CatBoost,248.3880501435884,15.760331536601266,11.470096946379677,0.1240370639596969,,
0071794-X,Random Forest,22.413192976979794,4.734257383896633,3.858909226190476,0.2337369922400071,,
0071795-X,Gradient Boosting,6.519458024205063,2.553322937703937,1.5818602196107423,0.0319134256400834,,
0071796-X,SVR,0.4319941568153418,0.6572626239299949,0.3893187469273654,0.0125847844220757,,
0071797-X,Exponential Smoothing w/ Trend & Seasonality,0.6491860218994826,0.8057208089031105,0.5329695101295467,0.0159706615418371,,
0072916-S,Random Forest,93.6112589859064,9.675291157681324,5.539509523809523,0.0525176216001375,,
0072917-S,Gradient Boosting,42.49568785228026,6.518871670180374,4.176979385128652,0.5138349404841521,,
0072919-S,Decision Tree,47.572,6.89724582713999,4.42,0.4265670202507232,,
0072924-S,Gradient Boosting,5347.506189514008,73.12664486706612,57.89681550397969,0.1489944397033605,,
0072930-S,Gradient Boosting,133.26874038543414,11.544208088276742,8.157410937817142,0.3398942969664958,,
0073377-S,SVR,1.4329581728468304,1.1970623095089203,0.8808686395164315,0.401703030924777,,
0073380-S,Decision Tree,45.784000000000006,6.7663875147673895,4.8,0.358767507002801,,
0073382-S,Elastic Net,227.62228485958377,15.08715628803466,11.722248641380878,0.0398778810222893,,
0073400-S,Gradient Boosting,57.74082753110624,7.598738548674131,6.161237660546886,0.228063803060077,,
0073401-S,Lasso,68.10420595889248,8.2525272467828,5.773083743842365,0.1798626450037033,,
0073402-S,Random Forest,146.4432519634974,12.101373970070398,7.21630996472663,0.0111784420604128,,
0073408-S,CatBoost,268.91647931957294,16.398673096307913,11.90508893617078,0.1002794372207597,,
0073409-S,Linear Regression,353.97222626717553,18.81414962912689,11.234155251141551,0.020372067526267,,
0073640-S,Lasso,55.05897959183673,7.420173824907118,5.693650793650794,0.2961209995361781,,
0073675-S,Exponential Smoothing w/ Trend & Seasonality,0.9833936414951702,0.9916620601269216,0.6395974852952954,0.0164360738915838,,
0073710-S,SVR,299.6342706054372,17.309947157788702,11.618704780202702,0.0240243946274151,,
0073716-S,Elastic Net,13.91351630853348,3.730082614170024,2.861247857637749,0.0655100986805872,,
0073728-S,CatBoost,51.761767510711806,7.19456513701223,6.415928780274404,0.3809141548772656,,
0073731-S,Linear Regression,6.094942583692541,2.468793750739932,1.2375355683343543,0.0001265974725148,,
0073741-S,CatBoost,158.0619756127552,12.572270105782614,7.714193153040806,0.4310428868192103,,
0073742-S,Decision Tree,223.7,14.956603892595403,11.42,0.3225523151933618,,
0073749-S,Elastic Net,207.07756996068832,14.39019005992236,11.743293422875164,0.0190081483694711,,
0073758-S,Second Degree Approximation,1.0756830019448893,1.0371513881516474,0.7648293436173946,0.0031690343027117,,
0073759-S,Exponential Smoothing w/ Trend & Seasonality,14.12774631044438,3.7586894405423257,2.7942928328711543,0.083032155792533,,
0073761-S,Decision Tree,654.7520000000001,25.588122244510245,13.0,0.2462765773751278,,
0073771-S,Decision Tree,124.7,11.166915420114902,8.5,0.491518512477573,,
0074264-S,Lasso,321.27983312381673,17.924280546895506,12.256063268892792,0.0730797347917927,,
0074265-S,Elastic Net,473.0683284419257,21.750133986758005,17.76078629091925,0.0266578285969318,,
0074273-S,Decision Tree,591.908,24.32915945938125,20.94,0.8059699731200419,,
0075202-S,Least Squares Regression,8.641201288325485,2.939592027531284,2.046497876686556,0.0113879882000507,,
0075204-S,SVR,146.64304008346454,12.109625926652916,9.926781346030417,0.1206628481817715,,
0075205-S,Gradient Boosting,130.7383701950129,11.43408807885495,6.836666537459832,0.1675988063357928,,
0075562-S,SVR,136.18953690462448,11.670027288083968,8.76390070254779,0.0242921909362654,,
0075566-S,Random Forest,132.27325971590503,11.501011247534064,8.115921645021647,0.4408468899395289,,
0075567-S,CatBoost,447.6560689141719,21.15788432037031,15.483268236261448,0.2176033471158908,,
0075572-S,Lasso,151.47421418605663,12.30748610342732,7.136842105263156,0.0135828719324264,,
0075583-S,Decision Tree,3877.980454545455,62.27343297543066,48.27272727272727,0.3325144952275281,,
0075585-S,Lasso,125.41344772729136,11.198814567948313,8.351704998019123,0.2120291045030701,,
0075623-S,Least Squares Regression,3.7521895754990657,1.9370569365661572,1.197771356094256,0.0064125679117987,,
0075903-S,Elastic Net,540.6682119027898,23.25227326311967,20.74784070209802,0.1877239949189129,,
0075906-S,SVR,16.300174312902218,4.0373474352478285,2.9339179924444942,0.0423398200498085,,
0076107-S,Exponential Smoothing w/ Trend & Seasonality,4.346531132676347,2.084833598318184,1.7083736910825231,0.1437749889119098,,
0076111-S,Decision Tree,40.333333333333336,6.3508529610858835,4.333333333333333,0.5754385964912281,,
0076113-S,XGBoost,40.86065907832584,6.392234279055003,4.572298134618904,0.1218542566500151,,
0076604-S,Random Forest,2.639863700723941,1.6247657371830382,1.3805357543690877,0.070308870614612,,
0076612-S,Decision Tree,9.588,3.0964495797606655,1.94,0.161888111888112,,
0076630-S,Second Degree Approximation,2.9466550049166265,1.7165823618214846,1.379090862501922,0.0144966538740379,,
0076631-S,Second Degree Approximation,0.232245933092966,0.4819190109271121,0.3989723651250161,0.003475358514365,,
0076632-S,Gradient Boosting,0.3956431653442609,0.6290017212569938,0.5280120484453845,0.1098028779754127,,
0076781-S,SVR,39.23720291057247,6.263960640886281,4.717727927903042,0.0754664724181793,,
0076782-S,Second Degree Approximation,2.7769638741357854,1.6664224776855914,1.3070042842114382,0.0036690029045809,,
0076784-S,Linear Regression,2.391467574580465,1.5464370580726734,1.171032268648429,0.0072930749150191,,
0076795-S,Exponential Smoothing w/ Trend & Seasonality,8.080938774027246,2.8426992056894176,1.7256205513126508,0.049558623933232,,
0076798-S,Exponential Smoothing w/ Trend & Seasonality,2.2081642958668244,1.4859893323529696,1.216195291622017,0.2586059773462683,,
0077237-S,SVR,13.100984077213605,3.619528156709601,2.6864981307790603,0.0609029112793787,,
0077238-S,SVR,27.288156005219616,5.223806658483793,4.395794435113945,0.2466459998559002,,
0077254-S,Second Degree Approximation,1.5340846200864595,1.2385816969770138,0.91618924685852,0.0153238085397295,,
0077256-S,Elastic Net,4.47406297699135,2.1151980940307578,1.781203007518797,0.2299375254748107,,
0077269-S,Elastic Net,32.581754267584294,5.70804294549229,3.940912146622793,0.2498231678014985,,
0077270-S,Random Forest,5.608600565782383,2.368248417244775,1.8143046737213409,0.3137512902894667,,
0077271-S,Least Squares Regression,0.3065559549784073,0.5536749542632458,0.4165918806396816,0.0012063354759564,,
0077321-S,Random Forest,386.2060526949051,19.652125907771534,15.316886330840877,0.3757723227260356,,
0077323-S,Random Forest,35.417581822051424,5.951267245053899,4.27680102613436,0.1145604544487143,,
0077325-S,Decision Tree,192.8436363636364,13.886815198728485,8.727272727272727,0.1137835169008734,,
0077331-S,Elastic Net,91.66784487502235,9.574332607290303,9.344622515953889,0.1003254011677066,,
0077332-S,Linear Regression,2.5819783855919316,1.6068535669412851,1.4026410564225689,0.4184733365783939,,
0077333-S,SVR,387.531028220828,19.685807786850607,13.897992749714168,0.1150037036223067,,
0077335-S,Random Forest,40.09987481317053,6.332446195047418,4.6693042636375965,0.2810779415965443,,
0077338-S,Decision Tree,14.4845,3.805850759028788,2.37,0.5381218112244899,,
0077340-S,Elastic Net,90.76857290619331,9.527254216519747,7.951554712490063,0.0623081311343663,,
0077373-S,Linear Regression,5.018749807463809,2.240256638750081,1.574612556303671,0.0005560329232152,,
0077386-S,SVR,4.177736395584926,2.0439511725050883,1.3710971541205503,0.4323727723390047,,
0077387-S,Decision Tree,415.372,20.380677123196865,12.580000000000002,0.1187797012898848,,
0077390-S,Exponential Smoothing w/ Trend & Seasonality,3.6814007976134735,1.918697682703941,1.5586520170838452,0.0223485636317124,,
0077406-S,SVR,91.08021105266006,9.543595289651591,7.374453757472163,0.0401495304809774,,
0077411-S,CatBoost,75.52759840220567,8.69066156297699,6.387360861816857,0.3642993148539208,,
0077458-S,Elastic Net,3.728071873791144,1.9308215541036269,1.550662739322533,0.2952605153513905,,
0077480-S,Second Degree Approximation,1.758815708082199,1.326203494220325,1.0313875082696249,0.0206209255573111,,
0077552-X,Elastic Net,41.836585097001766,6.4681206773684865,4.743055555555555,0.0005444396386289,,
0077553-X,SVR,0.1486341051065813,0.3855309392339107,0.3142847073210906,0.1400455347404935,,
0077673-S,Random Forest,19.40151213145314,4.404714761644974,3.708270634920635,0.287756529682337,,
0077682-S,Gradient Boosting,69.61647106356178,8.343648546263307,6.106505994030274,0.2742112591245688,,
0077693-S,SVR,690.9209058971937,26.28537437239945,17.146015515253758,0.0639957381906447,,
0077701-S,SVR,27.08805894726742,5.204619001163046,3.4871008765522147,0.1438666577981219,,
0077710-S,Second Degree Approximation,2.634826482495848,1.6232148602375005,1.3276182302239727,0.0042393621682731,,
0077711-S,Decision Tree,200.26222222222225,14.151403542483772,10.511111111111113,0.6229547673283437,,
